case,num_nodes,num_domains,seed,wan_mb_s,baseline,warmup_requests,target_requests,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,same_domain_peer_mb,cross_domain_peer_mb,p2p_offload_pct,peak_link_utilization,p95_link_utilization,wan_busy_time_s,evicted_mb,refused_cache_mb,algorithm_runtime_ms
cider_nodes30_domains5_req600_weak,30,5,1,10.0,ilrsa_style,300,300,300,0,853.2299394552945,2218.5274038461416,2221.6284999999884,22216.0,0.0,0.0,0.0,0.0,1.0,0.01047592109536231,2221.599999999988,16831.0,0.0,780.6880921125412
cider_nodes30_domains5_req600_weak,30,5,1,30.0,registry,300,300,300,0,237.32011458906825,735.021541875455,740.5618333333326,22216.0,0.0,0.0,0.0,0.0,1.0,0.03666666666666667,740.5333333333325,18381.0,0.0,733.1170588731766
cider_nodes30_domains5_req600_weak,30,5,1,30.0,dragonfly_style,300,300,300,0,16.699383544712337,76.08197445809469,83.91072355061866,2334.0,19882.0,1423.0,18459.0,89.49405833633418,1.0,0.8519484060045324,77.80000000000008,16342.0,2372.0,1243.9487650990486
cider_nodes30_domains5_req600_weak,30,5,1,30.0,peersync_style,300,300,300,0,23.95186275684698,97.37836463842818,98.69421455778512,1940.0,20276.0,2055.0,18221.0,91.26755491537631,1.0,0.6260486314576916,64.66666666666661,17815.0,0.0,1356.3765734434128
cider_nodes30_domains5_req600_weak,30,5,1,30.0,metapipe_reactive_style,300,300,300,0,19.800477125177583,76.4935940603903,84.31072355061858,2346.0,19870.0,4896.0,14974.0,89.44004321209938,1.0,0.81739,78.2,16259.0,598.0,1206.1078622937202
cider_nodes30_domains5_req600_weak,30,5,1,30.0,ilrsa_style,300,300,300,0,284.44549112618023,739.5274038461533,740.5618333333329,22216.0,0.0,0.0,0.0,0.0,1.0,0.03142776328608693,740.5333333333328,16831.0,0.0,768.5507908463478
cider_nodes30_domains5_req600_weak,30,5,1,100.0,registry,300,300,300,0,71.19014553359212,220.53722108315102,222.38630889146813,22216.0,0.0,0.0,0.0,0.0,1.0,0.12222222222222222,222.35780889146818,18381.0,0.0,749.3754923343658
cider_nodes30_domains5_req600_weak,30,5,1,100.0,dragonfly_style,300,300,300,0,11.385655644279355,39.927997606400794,44.43435906846682,2126.0,20090.0,1591.0,18499.0,90.43032048973713,1.0,1.0,23.86394154787351,16259.0,2372.0,1381.3435807824135
cider_nodes30_domains5_req600_weak,30,5,1,100.0,peersync_style,300,300,300,0,20.408995705605175,97.86788872776634,98.7572702880152,1940.0,20276.0,1986.0,18290.0,91.26755491537631,1.0,0.5703133333333334,21.68153750820689,16976.0,0.0,1429.1470274329185
cider_nodes30_domains5_req600_weak,30,5,1,100.0,metapipe_reactive_style,300,300,300,0,15.066308969204352,65.40962195295799,71.94368738713644,2128.0,20088.0,1960.0,18128.0,90.42131796903134,1.0,0.87787,24.14505382966996,16403.0,598.0,1319.0026059746742
