label,file,algo,cid,service_type,node_id,local_step,wait_time,pull_time,deploy_delay,completion_time,run_time,reuse_mb,downloaded_mb
baseline,result_500.json,FG-DSCR,c139,default,edge-3,76,2297.5,0.0,2297.5,2311.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c262,default,edge-3,77,2311.5,0.0,2311.5,2334.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c109,default,edge-3,78,2334.5,0.0,2334.5,2348.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c082,default,edge-3,79,2348.5,0.0,2348.5,2371.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c229,default,edge-3,80,2371.5,0.0,2371.5,2385.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c442,default,edge-3,81,2385.5,0.0,2385.5,2408.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c439,default,edge-3,82,2408.5,0.0,2408.5,2422.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c472,default,edge-3,83,2422.5,0.0,2422.5,2445.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c379,default,edge-3,84,2445.5,0.0,2445.5,2459.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c172,default,edge-3,85,2459.5,0.0,2459.5,2482.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c319,default,edge-3,86,2482.5,0.0,2482.5,2496.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c352,default,edge-3,87,2496.5,0.0,2496.5,2519.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c289,default,edge-3,88,2519.5,0.0,2519.5,2533.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c202,default,edge-3,89,2533.5,0.0,2533.5,2556.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c259,default,edge-3,90,2556.5,0.0,2556.5,2570.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c052,default,edge-3,91,2570.5,0.0,2570.5,2593.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c232,default,edge-3,92,2593.5,0.0,2593.5,2616.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c199,default,edge-3,93,2616.5,0.0,2616.5,2630.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c142,default,edge-3,94,2630.5,0.0,2630.5,2653.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c049,default,edge-3,95,2653.5,0.0,2653.5,2667.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c112,default,edge-3,96,2667.5,0.0,2667.5,2690.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c169,default,edge-3,97,2690.5,0.0,2690.5,2704.5,14.0,6591,0
