iter,phi_total,delay_term,frag_term,aff_reward_term,load_term
73,213333.3641203704,218045.68750000003,1.2766203703703702,5450.6,737.0
74,225817.0863425926,230518.37500000003,1.3113425925925926,5450.6,748.0
75,236476.67256944446,241158.95833333334,1.3142361111111112,5450.6,767.0
76,236449.28993055556,241158.95833333334,1.3315972222222223,5497.0,786.0
77,236429.68414351853,241158.95833333334,1.3258101851851851,5537.6,807.0
78,236238.11539351853,241158.95833333334,1.3570601851851851,5742.200000000001,820.0
79,238415.93680555554,243307.75833333333,1.3784722222222223,5742.200000000001,849.0
80,238369.73101851853,243307.75833333333,1.3726851851851851,5811.400000000001,872.0
81,238344.33333333334,243307.75833333333,1.375,5857.8,893.0
82,238275.9460648148,243307.75833333333,1.3877314814814814,5951.200000000001,918.0
83,238086.34895833334,243307.75833333333,1.390625,6155.8,933.0
84,246067.5559027778,251274.95833333334,1.3975694444444446,6164.8,956.0
85,246049.1605324074,251274.95833333334,1.402199074074074,6200.200000000001,973.0
86,246000.7732638889,251274.95833333334,1.4149305555555554,6273.6,998.0
