base_requests,target_requests,cache_scale,wan_mb_s,baseline,num_seeds,mean_ready_gain_pct,p95_gain_pct,registry_reduction_pct,p2p_offload_pct
200,100,1.0,100.0,dragonfly_style,20,32.624819594961814,32.288657762327894,52.54008100309262,52.37115167069238
200,100,1.0,100.0,ilrsa_style,20,-26.87737337346471,-5.172034033885475,0.0,0.0
200,100,1.0,100.0,metapipe_reactive_style,20,41.06633949953126,37.16063595361808,56.820240421319596,56.704886586273176
200,100,1.0,100.0,peersync_style,20,35.95760486168306,35.17415630291392,60.32724731822829,60.1777684772726
200,100,2.0,10.0,dragonfly_style,20,70.73852191182415,67.52696548773409,66.82886851406033,66.22543193116373
200,100,2.0,10.0,ilrsa_style,20,-29.022177125698143,-6.4465365395764795,0.0,0.0
200,100,2.0,10.0,metapipe_reactive_style,20,67.84321449743234,65.68942690409398,64.84467038877223,63.9640261836358
200,100,2.0,10.0,peersync_style,20,72.98385834034404,70.41969998640766,71.2486554320545,70.42109434108717
200,100,2.0,30.0,dragonfly_style,20,68.99187519531645,67.06108321523114,66.63934846078983,66.00010944690608
200,100,2.0,30.0,ilrsa_style,20,-29.02217712569814,-6.4465365395764955,0.0,0.0
200,100,2.0,30.0,metapipe_reactive_style,20,66.31350400051679,64.77042498769245,65.1782512933463,64.26873586869074
200,100,2.0,30.0,peersync_style,20,71.12583987763581,69.95308983366219,71.2486554320545,70.42109434108717
200,100,2.0,100.0,dragonfly_style,20,61.99879730384156,60.9827060698489,67.1118680530656,66.39355065850378
200,100,2.0,100.0,ilrsa_style,20,-29.255428535300375,-7.701966170637742,0.0,0.0
200,100,2.0,100.0,metapipe_reactive_style,20,61.25744942567356,58.33685221272234,65.76153767351329,64.88088893572238
200,100,2.0,100.0,peersync_style,20,63.58906958918846,63.16628762825685,71.2486554320545,70.42109434108717
500,250,0.5,10.0,dragonfly_style,20,21.190744611354436,14.46528150342978,16.165252527760362,16.00709496677223
500,250,0.5,10.0,ilrsa_style,20,-27.766509766261997,-6.542524251230846,0.0,0.0
500,250,0.5,10.0,metapipe_reactive_style,20,31.949619219876016,18.14666157344998,18.54901279242262,18.44277284970651
500,250,0.5,10.0,peersync_style,20,26.466097537032034,20.433981602071366,21.71980808262627,21.554486964997253
500,250,0.5,30.0,dragonfly_style,20,20.887781922294323,13.968253178363163,15.701286690542544,15.56987242757191
500,250,0.5,30.0,ilrsa_style,20,-27.766509766261887,-6.542524251230929,0.0,0.0
500,250,0.5,30.0,metapipe_reactive_style,20,32.10463557587455,18.412704644937783,18.795116410425113,18.666382372957386
500,250,0.5,30.0,peersync_style,20,26.466820246807444,20.32068228249418,21.626394225099464,21.507186989291565
500,250,0.5,100.0,dragonfly_style,20,20.42366083487175,9.680700493224167,15.910459248592586,15.80076539737228
500,250,0.5,100.0,ilrsa_style,20,-27.887122249179555,-7.680606977454239,0.0,0.0
500,250,0.5,100.0,metapipe_reactive_style,20,30.741375013852004,12.389245916834884,18.51115069734531,18.375132384018478
500,250,0.5,100.0,peersync_style,20,25.52939764472937,15.691724911078644,21.943256512590704,21.834046733417527
500,250,1.0,10.0,dragonfly_style,20,46.418773388249576,52.08869798078984,50.72085516954153,50.6247851699259
500,250,1.0,10.0,ilrsa_style,20,-25.44744331224125,-5.904372665023493,0.0,0.0
500,250,1.0,10.0,metapipe_reactive_style,20,48.17437112185689,51.49180034570595,50.67781904001666,50.51001649459043
500,250,1.0,10.0,peersync_style,20,50.09466531231503,57.50361466864306,58.30041994932842,58.21653331107846
500,250,1.0,30.0,dragonfly_style,20,44.790983227767796,50.36695875814059,51.08839759830632,50.94602408941917
500,250,1.0,30.0,ilrsa_style,20,-25.447443312241205,-5.904372665023551,0.0,0.0
500,250,1.0,30.0,metapipe_reactive_style,20,47.751775026599496,48.75941284280742,51.455592961510426,51.30543658880222
500,250,1.0,30.0,peersync_style,20,48.19567960432745,53.92937444625901,58.567660431055415,58.47542514487701
500,250,1.0,100.0,dragonfly_style,20,37.396178402502684,37.29439434781616,50.95547148856419,50.89598986940757
500,250,1.0,100.0,ilrsa_style,20,-25.57607410585262,-6.997893046561291,0.0,0.0
500,250,1.0,100.0,metapipe_reactive_style,20,43.972791669667366,40.36160239432892,51.43685142123347,51.2837633252811
