case,num_nodes,num_domains,seed,wan_mb_s,baseline,warmup_requests,target_requests,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,same_domain_peer_mb,cross_domain_peer_mb,p2p_offload_pct,peak_link_utilization,p95_link_utilization,wan_busy_time_s,evicted_mb,refused_cache_mb,algorithm_runtime_ms
cider_nodes20_domains4_req1000,20,4,3,10.0,metapipe_reactive_style,500,500,308,192,260.3334129183863,572.4755251749996,572.4755251749996,4660.0,22061.0,4899.0,17162.0,82.56053291418735,1.0,0.16268098259313488,465.99999999999955,21182.0,0.0,1015.8564671874046
cider_nodes20_domains4_req1000,20,4,3,10.0,ilrsa_style,500,500,308,192,1583.504914427758,2622.087637834218,2674.579499999983,26721.0,0.0,0.0,0.0,0.0,1.0,0.010438642183179381,2672.0999999999917,26937.0,0.0,646.8642875552177
cider_nodes20_domains4_req1000,20,4,3,30.0,registry,500,500,308,192,335.24903836656307,788.6864622344399,891.6405000000025,26721.0,0.0,0.0,0.0,0.0,1.0,0.03141996235888509,890.7000000000021,22634.0,0.0,656.5926894545555
cider_nodes20_domains4_req1000,20,4,3,30.0,dragonfly_style,500,500,308,192,107.45025268152652,269.33300000000014,269.33300000000014,5469.0,21252.0,7474.0,13778.0,79.5329516110924,1.0,0.34817,182.30000000000013,20911.0,0.0,1113.5388016700745
cider_nodes20_domains4_req1000,20,4,3,30.0,peersync_style,500,500,308,192,100.60000741820042,250.93300000000025,250.93300000000025,4917.0,21804.0,8071.0,13733.0,81.59874256202987,1.0,0.44689,163.9000000000002,21148.0,0.0,2692.5029680132866
cider_nodes20_domains4_req1000,20,4,3,30.0,metapipe_reactive_style,500,500,308,192,103.17136769520906,261.90885850833337,261.90885850833337,4663.0,22058.0,4897.0,17161.0,82.54930578945398,1.0,0.34817,155.43333333333337,20897.0,0.0,1034.8023176193237
cider_nodes20_domains4_req1000,20,4,3,30.0,ilrsa_style,500,500,308,192,527.9613511531902,874.8797666666687,893.1819800794186,26721.0,0.0,0.0,0.0,0.0,1.0,0.03131592654953814,890.6999999999998,26937.0,0.0,646.4507952332497
cider_nodes20_domains4_req1000,20,4,3,100.0,registry,500,500,308,192,100.53872506568608,236.6011958852875,270.57884666704297,26721.0,0.0,0.0,0.0,0.0,1.0,0.10473320786295032,269.6383466670427,22634.0,0.0,653.5578295588493
cider_nodes20_domains4_req1000,20,4,3,100.0,dragonfly_style,500,500,308,192,43.58379341478941,142.56300000000002,142.56300000000002,5462.0,21259.0,6996.0,14263.0,79.55914823547023,1.0,0.65637,55.030454426882464,20822.0,0.0,1123.2656389474869
cider_nodes20_domains4_req1000,20,4,3,100.0,peersync_style,500,500,308,192,41.921115213043,137.3930000000001,137.3930000000001,4917.0,21804.0,7137.0,14667.0,81.59874256202987,1.0,0.6633100000000001,49.31511438811031,21485.0,0.0,2693.2689771056175
cider_nodes20_domains4_req1000,20,4,3,100.0,metapipe_reactive_style,500,500,308,192,36.99604500738652,101.25212742623383,101.25212742623383,9987.0,16734.0,4666.0,12068.0,62.62490176265858,1.0,0.9424899999999999,101.19512742623382,21390.0,0.0,1092.5425365567207
cider_nodes20_domains4_req1000,20,4,3,100.0,ilrsa_style,500,500,308,192,158.61371701835913,263.4398702036807,271.9732667710472,26721.0,0.0,0.0,0.0,0.0,1.0,0.10473320786295032,269.44344357921244,26937.0,0.0,661.2685024738312
cider_nodes20_domains4_req1000,20,4,4,10.0,registry,500,500,307,193,727.8700873333627,1905.2400994871737,2109.0284999999994,21090.0,0.0,0.0,0.0,0.0,1.0,0.011926627388307135,2108.999999999999,17431.0,0.0,447.71480560302734
