image_a,image_b,shared_layers,shared_size_mb
alpine:3.19,busybox:1.36,0,0
alpine:3.19,memcached:1.6,0,0
alpine:3.19,httpd:2.4,0,0
alpine:3.19,nginx:1.25,0,0
alpine:3.19,caddy:2,0,0
alpine:3.19,haproxy:2.9,0,0
alpine:3.19,mysql:8.0,0,0
alpine:3.19,mariadb:11,0,0
alpine:3.19,redis:7,0,0
alpine:3.19,postgres:16,0,0
alpine:3.19,mongo:7,0,0
alpine:3.19,rabbitmq:3-management,0,0
alpine:3.19,zookeeper:3.9,0,0
alpine:3.19,registry:2,0,0
alpine:3.19,wordpress:6.4,0,0
alpine:3.19,ghost:5-alpine,0,0
alpine:3.19,node:20,0,0
alpine:3.19,node:20-alpine,0,0
alpine:3.19,flink:1.18,0,0
alpine:3.19,cassandra:4.1,0,0
alpine:3.19,eclipse-temurin:17,0,0
alpine:3.19,php:8.2-apache,0,0
alpine:3.19,ruby:3.2,0,0
alpine:3.19,perl:5.38,0,0
alpine:3.19,prom/prometheus:v2.52.0,0,0
alpine:3.19,grafana/grafana:10.4.1,0,0
alpine:3.19,fluent/fluent-bit:3.0,0,0
alpine:3.19,logstash:8.13.0,0,0
alpine:3.19,telegraf:1.30,0,0
alpine:3.19,influxdb:2.7,0,0
alpine:3.19,minio/minio:latest,0,0
alpine:3.19,jenkins/jenkins:lts,0,0
alpine:3.19,gitlab/gitlab-runner:alpine,0,0
alpine:3.19,hashicorp/http-echo:latest,0,0
alpine:3.19,consul:1.15,0,0
alpine:3.19,nats:2.10,0,0
alpine:3.19,solr:9,0,0
alpine:3.19,varnish:7,0,0
alpine:3.19,traefik:v3.0,0,0
alpine:3.19,eclipse-mosquitto:2,0,0
alpine:3.19,sonarqube:community,0,0
busybox:1.36,memcached:1.6,0,0
busybox:1.36,httpd:2.4,0,0
busybox:1.36,nginx:1.25,0,0
busybox:1.36,caddy:2,0,0
busybox:1.36,haproxy:2.9,0,0
busybox:1.36,mysql:8.0,0,0
busybox:1.36,mariadb:11,0,0
busybox:1.36,redis:7,0,0
busybox:1.36,postgres:16,0,0
busybox:1.36,mongo:7,0,0
busybox:1.36,rabbitmq:3-management,0,0
busybox:1.36,zookeeper:3.9,0,0
busybox:1.36,registry:2,0,0
busybox:1.36,wordpress:6.4,0,0
busybox:1.36,ghost:5-alpine,0,0
busybox:1.36,node:20,0,0
busybox:1.36,node:20-alpine,0,0
busybox:1.36,flink:1.18,0,0
busybox:1.36,cassandra:4.1,0,0
busybox:1.36,eclipse-temurin:17,0,0
busybox:1.36,php:8.2-apache,0,0
busybox:1.36,ruby:3.2,0,0
busybox:1.36,perl:5.38,0,0
busybox:1.36,prom/prometheus:v2.52.0,0,0
busybox:1.36,grafana/grafana:10.4.1,0,0
busybox:1.36,fluent/fluent-bit:3.0,0,0
busybox:1.36,logstash:8.13.0,0,0
busybox:1.36,telegraf:1.30,0,0
busybox:1.36,influxdb:2.7,0,0
busybox:1.36,minio/minio:latest,0,0
busybox:1.36,jenkins/jenkins:lts,0,0
busybox:1.36,gitlab/gitlab-runner:alpine,0,0
busybox:1.36,hashicorp/http-echo:latest,0,0
busybox:1.36,consul:1.15,0,0
busybox:1.36,nats:2.10,0,0
busybox:1.36,solr:9,0,0
busybox:1.36,varnish:7,0,0
busybox:1.36,traefik:v3.0,0,0
busybox:1.36,eclipse-mosquitto:2,0,0
busybox:1.36,sonarqube:community,0,0
memcached:1.6,httpd:2.4,1,28.4006
memcached:1.6,nginx:1.25,0,0
memcached:1.6,caddy:2,0,0
memcached:1.6,haproxy:2.9,0,0
memcached:1.6,mysql:8.0,0,0
memcached:1.6,mariadb:11,0,0
memcached:1.6,redis:7,0,0
memcached:1.6,postgres:16,1,28.4006
memcached:1.6,mongo:7,0,0
memcached:1.6,rabbitmq:3-management,0,0
memcached:1.6,zookeeper:3.9,0,0
memcached:1.6,registry:2,0,0
memcached:1.6,wordpress:6.4,0,0
memcached:1.6,ghost:5-alpine,0,0
memcached:1.6,node:20,0,0
memcached:1.6,node:20-alpine,0,0
memcached:1.6,flink:1.18,0,0
memcached:1.6,cassandra:4.1,0,0
memcached:1.6,eclipse-temurin:17,0,0
memcached:1.6,php:8.2-apache,1,28.4006
memcached:1.6,ruby:3.2,0,0
memcached:1.6,perl:5.38,0,0
memcached:1.6,prom/prometheus:v2.52.0,0,0
memcached:1.6,grafana/grafana:10.4.1,0,0
memcached:1.6,fluent/fluent-bit:3.0,0,0
memcached:1.6,logstash:8.13.0,0,0
memcached:1.6,telegraf:1.30,0,0
memcached:1.6,influxdb:2.7,0,0
memcached:1.6,minio/minio:latest,0,0
memcached:1.6,jenkins/jenkins:lts,0,0
memcached:1.6,gitlab/gitlab-runner:alpine,0,0
memcached:1.6,hashicorp/http-echo:latest,0,0
memcached:1.6,consul:1.15,0,0
memcached:1.6,nats:2.10,0,0
memcached:1.6,solr:9,0,0
memcached:1.6,varnish:7,0,0
memcached:1.6,traefik:v3.0,0,0
memcached:1.6,eclipse-mosquitto:2,0,0
memcached:1.6,sonarqube:community,0,0
httpd:2.4,nginx:1.25,0,0
httpd:2.4,caddy:2,1,0.0
httpd:2.4,haproxy:2.9,1,0.0
httpd:2.4,mysql:8.0,0,0
httpd:2.4,mariadb:11,0,0
httpd:2.4,redis:7,1,0.0
httpd:2.4,postgres:16,1,28.4006
httpd:2.4,mongo:7,0,0
httpd:2.4,rabbitmq:3-management,0,0
httpd:2.4,zookeeper:3.9,1,0.0
httpd:2.4,registry:2,0,0
httpd:2.4,wordpress:6.4,0,0
httpd:2.4,ghost:5-alpine,1,0.0
httpd:2.4,node:20,0,0
httpd:2.4,node:20-alpine,0,0
httpd:2.4,flink:1.18,0,0
httpd:2.4,cassandra:4.1,0,0
httpd:2.4,eclipse-temurin:17,0,0
httpd:2.4,php:8.2-apache,2,28.4006
httpd:2.4,ruby:3.2,0,0
httpd:2.4,perl:5.38,1,0.0
httpd:2.4,prom/prometheus:v2.52.0,0,0
httpd:2.4,grafana/grafana:10.4.1,0,0
httpd:2.4,fluent/fluent-bit:3.0,0,0
httpd:2.4,logstash:8.13.0,1,0.0
httpd:2.4,telegraf:1.30,0,0
httpd:2.4,influxdb:2.7,0,0
httpd:2.4,minio/minio:latest,0,0
httpd:2.4,jenkins/jenkins:lts,0,0
httpd:2.4,gitlab/gitlab-runner:alpine,0,0
httpd:2.4,hashicorp/http-echo:latest,0,0
httpd:2.4,consul:1.15,0,0
httpd:2.4,nats:2.10,0,0
httpd:2.4,solr:9,1,0.0
httpd:2.4,varnish:7,1,0.0
httpd:2.4,traefik:v3.0,0,0
httpd:2.4,eclipse-mosquitto:2,0,0
httpd:2.4,sonarqube:community,1,0.0
nginx:1.25,caddy:2,0,0
nginx:1.25,haproxy:2.9,0,0
nginx:1.25,mysql:8.0,0,0
nginx:1.25,mariadb:11,0,0
nginx:1.25,redis:7,0,0
nginx:1.25,postgres:16,0,0
nginx:1.25,mongo:7,0,0
nginx:1.25,rabbitmq:3-management,0,0
nginx:1.25,zookeeper:3.9,0,0
nginx:1.25,registry:2,0,0
nginx:1.25,wordpress:6.4,0,0
nginx:1.25,ghost:5-alpine,0,0
nginx:1.25,node:20,0,0
nginx:1.25,node:20-alpine,0,0
nginx:1.25,flink:1.18,0,0
nginx:1.25,cassandra:4.1,0,0
nginx:1.25,eclipse-temurin:17,0,0
nginx:1.25,php:8.2-apache,0,0
nginx:1.25,ruby:3.2,0,0
nginx:1.25,perl:5.38,0,0
nginx:1.25,prom/prometheus:v2.52.0,0,0
nginx:1.25,grafana/grafana:10.4.1,0,0
nginx:1.25,fluent/fluent-bit:3.0,0,0
nginx:1.25,logstash:8.13.0,0,0
nginx:1.25,telegraf:1.30,0,0
nginx:1.25,influxdb:2.7,0,0
nginx:1.25,minio/minio:latest,0,0
nginx:1.25,jenkins/jenkins:lts,0,0
nginx:1.25,gitlab/gitlab-runner:alpine,0,0
nginx:1.25,hashicorp/http-echo:latest,0,0
nginx:1.25,consul:1.15,0,0
nginx:1.25,nats:2.10,0,0
nginx:1.25,solr:9,0,0
nginx:1.25,varnish:7,0,0
nginx:1.25,traefik:v3.0,0,0
nginx:1.25,eclipse-mosquitto:2,0,0
nginx:1.25,sonarqube:community,0,0
caddy:2,haproxy:2.9,1,0.0
caddy:2,mysql:8.0,0,0
caddy:2,mariadb:11,0,0
caddy:2,redis:7,1,0.0
caddy:2,postgres:16,0,0
caddy:2,mongo:7,0,0
caddy:2,rabbitmq:3-management,0,0
caddy:2,zookeeper:3.9,1,0.0
caddy:2,registry:2,0,0
caddy:2,wordpress:6.4,0,0
caddy:2,ghost:5-alpine,1,0.0
caddy:2,node:20,0,0
caddy:2,node:20-alpine,1,3.6852
caddy:2,flink:1.18,0,0
caddy:2,cassandra:4.1,0,0
caddy:2,eclipse-temurin:17,0,0
caddy:2,php:8.2-apache,1,0.0
caddy:2,ruby:3.2,0,0
caddy:2,perl:5.38,1,0.0
caddy:2,prom/prometheus:v2.52.0,0,0
caddy:2,grafana/grafana:10.4.1,0,0
caddy:2,fluent/fluent-bit:3.0,0,0
caddy:2,logstash:8.13.0,1,0.0
caddy:2,telegraf:1.30,0,0
caddy:2,influxdb:2.7,0,0
caddy:2,minio/minio:latest,0,0
caddy:2,jenkins/jenkins:lts,0,0
caddy:2,gitlab/gitlab-runner:alpine,0,0
caddy:2,hashicorp/http-echo:latest,0,0
caddy:2,consul:1.15,0,0
caddy:2,nats:2.10,0,0
caddy:2,solr:9,1,0.0
caddy:2,varnish:7,1,0.0
caddy:2,traefik:v3.0,0,0
caddy:2,eclipse-mosquitto:2,1,3.6852
caddy:2,sonarqube:community,1,0.0
haproxy:2.9,mysql:8.0,0,0
haproxy:2.9,mariadb:11,0,0
haproxy:2.9,redis:7,1,0.0
haproxy:2.9,postgres:16,0,0
haproxy:2.9,mongo:7,0,0
haproxy:2.9,rabbitmq:3-management,0,0
haproxy:2.9,zookeeper:3.9,1,0.0
haproxy:2.9,registry:2,0,0
haproxy:2.9,wordpress:6.4,0,0
haproxy:2.9,ghost:5-alpine,1,0.0
haproxy:2.9,node:20,0,0
haproxy:2.9,node:20-alpine,0,0
haproxy:2.9,flink:1.18,0,0
haproxy:2.9,cassandra:4.1,0,0
haproxy:2.9,eclipse-temurin:17,0,0
haproxy:2.9,php:8.2-apache,1,0.0
haproxy:2.9,ruby:3.2,0,0
haproxy:2.9,perl:5.38,1,0.0
haproxy:2.9,prom/prometheus:v2.52.0,0,0
haproxy:2.9,grafana/grafana:10.4.1,0,0
haproxy:2.9,fluent/fluent-bit:3.0,0,0
haproxy:2.9,logstash:8.13.0,1,0.0
haproxy:2.9,telegraf:1.30,0,0
haproxy:2.9,influxdb:2.7,0,0
haproxy:2.9,minio/minio:latest,0,0
haproxy:2.9,jenkins/jenkins:lts,0,0
haproxy:2.9,gitlab/gitlab-runner:alpine,0,0
haproxy:2.9,hashicorp/http-echo:latest,0,0
haproxy:2.9,consul:1.15,0,0
haproxy:2.9,nats:2.10,0,0
haproxy:2.9,solr:9,1,0.0
haproxy:2.9,varnish:7,1,0.0
haproxy:2.9,traefik:v3.0,0,0
haproxy:2.9,eclipse-mosquitto:2,0,0
haproxy:2.9,sonarqube:community,1,0.0
mysql:8.0,mariadb:11,0,0
mysql:8.0,redis:7,0,0
mysql:8.0,postgres:16,0,0
mysql:8.0,mongo:7,0,0
mysql:8.0,rabbitmq:3-management,0,0
mysql:8.0,zookeeper:3.9,0,0
mysql:8.0,registry:2,0,0
mysql:8.0,wordpress:6.4,0,0
mysql:8.0,ghost:5-alpine,0,0
mysql:8.0,node:20,0,0
mysql:8.0,node:20-alpine,0,0
mysql:8.0,flink:1.18,0,0
mysql:8.0,cassandra:4.1,0,0
mysql:8.0,eclipse-temurin:17,0,0
mysql:8.0,php:8.2-apache,0,0
mysql:8.0,ruby:3.2,0,0
mysql:8.0,perl:5.38,0,0
mysql:8.0,prom/prometheus:v2.52.0,0,0
mysql:8.0,grafana/grafana:10.4.1,0,0
mysql:8.0,fluent/fluent-bit:3.0,0,0
mysql:8.0,logstash:8.13.0,0,0
mysql:8.0,telegraf:1.30,0,0
mysql:8.0,influxdb:2.7,0,0
mysql:8.0,minio/minio:latest,0,0
mysql:8.0,jenkins/jenkins:lts,0,0
mysql:8.0,gitlab/gitlab-runner:alpine,0,0
mysql:8.0,hashicorp/http-echo:latest,0,0
mysql:8.0,consul:1.15,0,0
mysql:8.0,nats:2.10,0,0
mysql:8.0,solr:9,0,0
mysql:8.0,varnish:7,0,0
mysql:8.0,traefik:v3.0,0,0
mysql:8.0,eclipse-mosquitto:2,0,0
mysql:8.0,sonarqube:community,0,0
mariadb:11,redis:7,0,0
mariadb:11,postgres:16,0,0
mariadb:11,mongo:7,0,0
mariadb:11,rabbitmq:3-management,0,0
mariadb:11,zookeeper:3.9,0,0
mariadb:11,registry:2,0,0
mariadb:11,wordpress:6.4,0,0
mariadb:11,ghost:5-alpine,0,0
mariadb:11,node:20,0,0
mariadb:11,node:20-alpine,0,0
mariadb:11,flink:1.18,0,0
mariadb:11,cassandra:4.1,0,0
mariadb:11,eclipse-temurin:17,1,28.3556
mariadb:11,php:8.2-apache,0,0
mariadb:11,ruby:3.2,0,0
mariadb:11,perl:5.38,0,0
mariadb:11,prom/prometheus:v2.52.0,0,0
mariadb:11,grafana/grafana:10.4.1,0,0
mariadb:11,fluent/fluent-bit:3.0,0,0
mariadb:11,logstash:8.13.0,0,0
mariadb:11,telegraf:1.30,0,0
mariadb:11,influxdb:2.7,0,0
mariadb:11,minio/minio:latest,0,0
mariadb:11,jenkins/jenkins:lts,0,0
mariadb:11,gitlab/gitlab-runner:alpine,0,0
mariadb:11,hashicorp/http-echo:latest,0,0
mariadb:11,consul:1.15,0,0
mariadb:11,nats:2.10,0,0
mariadb:11,solr:9,0,0
mariadb:11,varnish:7,0,0
mariadb:11,traefik:v3.0,0,0
mariadb:11,eclipse-mosquitto:2,0,0
mariadb:11,sonarqube:community,1,28.3556
redis:7,postgres:16,0,0
redis:7,mongo:7,0,0
redis:7,rabbitmq:3-management,0,0
redis:7,zookeeper:3.9,1,0.0
redis:7,registry:2,0,0
redis:7,wordpress:6.4,0,0
redis:7,ghost:5-alpine,1,0.0
redis:7,node:20,0,0
redis:7,node:20-alpine,0,0
redis:7,flink:1.18,0,0
redis:7,cassandra:4.1,1,26.9282
redis:7,eclipse-temurin:17,0,0
redis:7,php:8.2-apache,1,0.0
redis:7,ruby:3.2,0,0
redis:7,perl:5.38,1,0.0
redis:7,prom/prometheus:v2.52.0,0,0
redis:7,grafana/grafana:10.4.1,0,0
redis:7,fluent/fluent-bit:3.0,0,0
redis:7,logstash:8.13.0,1,0.0
redis:7,telegraf:1.30,0,0
redis:7,influxdb:2.7,1,26.9282
redis:7,minio/minio:latest,0,0
redis:7,jenkins/jenkins:lts,0,0
redis:7,gitlab/gitlab-runner:alpine,0,0
redis:7,hashicorp/http-echo:latest,0,0
redis:7,consul:1.15,0,0
redis:7,nats:2.10,0,0
redis:7,solr:9,1,0.0
redis:7,varnish:7,1,0.0
redis:7,traefik:v3.0,0,0
redis:7,eclipse-mosquitto:2,0,0
redis:7,sonarqube:community,1,0.0
postgres:16,mongo:7,0,0
postgres:16,rabbitmq:3-management,0,0
postgres:16,zookeeper:3.9,0,0
postgres:16,registry:2,0,0
postgres:16,wordpress:6.4,0,0
postgres:16,ghost:5-alpine,0,0
postgres:16,node:20,0,0
postgres:16,node:20-alpine,0,0
postgres:16,flink:1.18,0,0
postgres:16,cassandra:4.1,0,0
postgres:16,eclipse-temurin:17,0,0
postgres:16,php:8.2-apache,1,28.4006
postgres:16,ruby:3.2,0,0
postgres:16,perl:5.38,0,0
postgres:16,prom/prometheus:v2.52.0,0,0
postgres:16,grafana/grafana:10.4.1,0,0
postgres:16,fluent/fluent-bit:3.0,0,0
postgres:16,logstash:8.13.0,0,0
postgres:16,telegraf:1.30,0,0
postgres:16,influxdb:2.7,0,0
postgres:16,minio/minio:latest,0,0
postgres:16,jenkins/jenkins:lts,0,0
postgres:16,gitlab/gitlab-runner:alpine,0,0
postgres:16,hashicorp/http-echo:latest,0,0
postgres:16,consul:1.15,0,0
postgres:16,nats:2.10,0,0
postgres:16,solr:9,0,0
postgres:16,varnish:7,0,0
postgres:16,traefik:v3.0,0,0
postgres:16,eclipse-mosquitto:2,0,0
postgres:16,sonarqube:community,0,0
mongo:7,rabbitmq:3-management,0,0
mongo:7,zookeeper:3.9,1,28.3589
mongo:7,registry:2,0,0
mongo:7,wordpress:6.4,0,0
mongo:7,ghost:5-alpine,0,0
mongo:7,node:20,0,0
mongo:7,node:20-alpine,0,0
mongo:7,flink:1.18,0,0
mongo:7,cassandra:4.1,0,0
mongo:7,eclipse-temurin:17,0,0
mongo:7,php:8.2-apache,0,0
mongo:7,ruby:3.2,0,0
mongo:7,perl:5.38,0,0
mongo:7,prom/prometheus:v2.52.0,0,0
mongo:7,grafana/grafana:10.4.1,0,0
mongo:7,fluent/fluent-bit:3.0,0,0
mongo:7,logstash:8.13.0,0,0
mongo:7,telegraf:1.30,0,0
mongo:7,influxdb:2.7,0,0
mongo:7,minio/minio:latest,0,0
mongo:7,jenkins/jenkins:lts,0,0
mongo:7,gitlab/gitlab-runner:alpine,0,0
mongo:7,hashicorp/http-echo:latest,0,0
mongo:7,consul:1.15,0,0
mongo:7,nats:2.10,0,0
mongo:7,solr:9,1,28.3589
mongo:7,varnish:7,0,0
mongo:7,traefik:v3.0,0,0
mongo:7,eclipse-mosquitto:2,0,0
mongo:7,sonarqube:community,0,0
rabbitmq:3-management,zookeeper:3.9,0,0
rabbitmq:3-management,registry:2,0,0
rabbitmq:3-management,wordpress:6.4,0,0
rabbitmq:3-management,ghost:5-alpine,0,0
rabbitmq:3-management,node:20,0,0
rabbitmq:3-management,node:20-alpine,0,0
rabbitmq:3-management,flink:1.18,0,0
rabbitmq:3-management,cassandra:4.1,0,0
rabbitmq:3-management,eclipse-temurin:17,0,0
rabbitmq:3-management,php:8.2-apache,0,0
rabbitmq:3-management,ruby:3.2,0,0
rabbitmq:3-management,perl:5.38,0,0
rabbitmq:3-management,prom/prometheus:v2.52.0,0,0
rabbitmq:3-management,grafana/grafana:10.4.1,0,0
rabbitmq:3-management,fluent/fluent-bit:3.0,0,0
rabbitmq:3-management,logstash:8.13.0,0,0
rabbitmq:3-management,telegraf:1.30,0,0
rabbitmq:3-management,influxdb:2.7,0,0
rabbitmq:3-management,minio/minio:latest,0,0
rabbitmq:3-management,jenkins/jenkins:lts,0,0
rabbitmq:3-management,gitlab/gitlab-runner:alpine,0,0
rabbitmq:3-management,hashicorp/http-echo:latest,0,0
rabbitmq:3-management,consul:1.15,0,0
