cache,method,Dynamic_Gain,Reuse_norm,Future_norm,Pull_saving_norm,Evict_saving_norm,Reuse_raw,Future_raw,Pull_raw,Evict_raw,n
768,ILR-SA,0.1766509367260964,0.0,0.21634765005149142,0.49025609685289423,0.0,39.69334269103956,242.6368002108296,470.2692386699845,173.32957003027192,9
768,LRScheduler,0.39068135330306847,0.48810014465786494,0.27471505301440763,0.5490776852551278,0.2508325302848735,87.17338348943719,291.4488757899935,423.01337914260944,130.6877720893185,9
768,GAHRL,0.3891411699010279,0.45265640397577245,0.2700182322673576,0.5437337696994904,0.2901562736614912,83.7255864091614,287.5209715549455,427.3065532931695,124.00269373268257,9
768,ORR,0.3745002019332201,0.43811105784050575,0.26064899672133907,0.5455239094491816,0.25371684372185394,82.31068490690234,279.68557353523556,425.86839776484027,130.1974357256961,9
768,LASA,0.5430264930327857,0.22511604613924185,0.0,1.0,0.9469899259919009,61.59155184350214,61.707423373599845,60.75315900660644,12.34027159117602,9
768,FG-orig,0.75,1.0,1.0,0.0,1.0,136.9685459829355,897.9974260344467,864.1292801040211,3.328502415458937,9
768,FG-selected,0.5730666472888784,0.9352160503601973,0.367341232477585,0.6253378815443367,0.36437142477339457,130.66667411167174,368.9112236597182,361.74775845365735,111.38603881046433,9
896,ILR-SA,0.1806602485620852,0.05824573755753575,0.21641597226137801,0.21478972872419066,0.23318955570523642,86.09390879906881,242.69393739191744,421.8746472834878,367.6426365018312,9
896,LRScheduler,0.39275396284388875,0.3206464620932267,0.31355334249433403,0.453501952834926,0.4833140939530681,195.96184168279976,323.9289490025039,312.0550267931034,250.32763668615357,9
896,GAHRL,0.34564610275583424,0.26451741591841793,0.314748110464951,0.39036498327270913,0.4129539013672589,172.46044972256934,324.9281215118302,341.10120598256617,283.328421167589,9
896,ORR,0.3562112020604713,0.2738512450988167,0.29825736807168035,0.411971822540075,0.44076437253131306,176.36855066152378,311.1370785118826,331.1609739849031,270.28457731948066,9
896,LASA,0.5,0.0,0.0,1.0,1.0,61.70625211077973,61.707423373599845,60.638458739328854,7.9883308456379165,9
896,FG-orig,0.5,1.0,1.0,0.0,0.0,480.4091085077598,897.9974260344467,520.6887175791967,477.0146832278981,9
896,FG-selected,0.43641294630668237,0.36135644500444214,0.367341232477585,0.5244677254044315,0.4924863823402711,213.00722781159791,368.9112236597182,279.4072047537312,246.0255917209056,9
1024,ILR-SA,0.08302552591788159,0.1055557342613633,0.22654636941016307,0.0,0.0,149.97775654746448,251.16588725043033,359.26095689141533,295.54288424871226,9
1024,LRScheduler,0.4259156759687019,0.2884140880687882,0.3349306366690468,0.5089722775709039,0.5713457015660686,302.8939586121509,341.80656640475615,207.27038387303486,130.05500648386288,9
1024,GAHRL,0.4491579529281054,0.3034674377154775,0.32193588800744644,0.5561826306644403,0.6150458553250575,315.48239664844505,330.93918801196935,193.17231029360093,117.39744087384767,9
1024,ORR,0.48163301847613577,0.32472985898037854,0.3427491255526824,0.6032092027979583,0.6558438865735239,333.2632015109466,348.34509049405557,179.1291178435605,105.58046283448111,9
1024,LASA,0.5,0.0,0.0,1.0,1.0,61.70625211077973,61.707423373599845,60.638458739328854,5.897093073169698,9
1024,FG-orig,0.9634007465724598,1.0,1.0,0.8576859631801924,0.9959170231096466,897.9611941503888,897.9974260344467,103.13663193656784,7.079710144927536,9
1024,FG-selected,0.42636156865021124,0.28283135994515285,0.367341232477585,0.5527778381611208,0.5024958440169862,298.22537462869735,368.9112236597182,194.18905793663168,149.99707794599024,9
