case,base_requests,target_requests,cache_scale,wan_mb_s,policy,num_seeds,mean_ready_s_mean,mean_ready_s_ci95,p95_ready_s_mean,p95_ready_s_ci95,makespan_s_mean,makespan_s_ci95,registry_mb_mean,registry_mb_ci95,peer_mb_mean,peer_mb_ci95,evicted_mb_mean,evicted_mb_ci95,refused_cache_mb_mean,refused_cache_mb_ci95
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,100.0,d_lease,5,40.4909714728788,3.927173825049515,87.40508251831797,15.74506121073665,101.44924918498464,13.29120707393478,6800.2,899.1461000308235,9253.6,1044.9494554831635,14303.8,1154.5017887919619,579.2,607.5784468098254
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,100.0,l_lease,5,40.2602466376476,3.812933098779445,86.57943672841289,15.205126133044676,100.62360339507957,11.059886343762944,6721.4,732.1563040614756,9332.4,1111.9550672976673,14242.8,1052.1195279065205,640.2,685.6902067218402
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,100.0,l_lru,5,42.88294579462831,4.6459301431992,96.09318003410495,12.379213827450103,109.23415213264886,17.407954770927844,7951.0,774.1372622764,8102.8,716.5820167594495,14516.8,815.7465764340295,427.6,659.3877157649813
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,100.0,p2p_sjf,5,50.97596898442317,3.474490438338368,104.57188244494822,15.992203639625775,109.19278645667626,14.66334077821302,10594.4,1774.7154064408635,5459.4,1445.6827522908889,14411.6,1420.7454638078418,354.8,603.1407987531933
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,10.0,c_lru,5,39.09283431314591,19.67812500641742,214.63113625661376,78.0998891180688,229.234041005291,78.77428939968715,2252.2,738.5763852887796,4294.6,892.3121995764486,6416.0,1080.79915703298,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,10.0,cloud_fifo,5,90.61261660408921,28.06019300408582,521.7199999999998,121.99692224933528,654.6799999999997,100.15380973158433,6546.8,1001.5380973158433,0.0,0.0,6321.4,1038.2947336332588,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,10.0,cloud_sjf,5,92.18621065515583,31.29724403386024,488.18000000000006,167.50967805537206,654.6800000000001,100.15380973158439,6546.8,1001.5380973158433,0.0,0.0,6319.0,1037.5561349216725,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,10.0,d_lease,5,36.300074208480055,19.143262150793138,197.07825654761908,72.60586580093394,208.25279761904758,75.99714677095169,2016.4,706.9745537865983,4530.4,990.2379947544731,6228.0,1308.4548713287743,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,10.0,l_lease,5,36.300074208480055,19.143262150793138,197.07825654761908,72.60586580093394,208.25279761904758,75.99714677095169,2016.4,706.9745537865983,4530.4,990.2379947544731,6228.0,1308.4548713287743,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,10.0,l_lru,5,39.52740208379188,22.16433973160187,214.47410952380955,85.79266198503558,237.16029761904758,86.1027197962709,2315.4,818.742410845902,4231.4,995.8338883983412,6428.6,1216.4166560317067,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,10.0,p2p_sjf,5,43.73463440275164,25.480365772503873,241.6773480767196,108.87292060800618,288.16083333333336,124.26521878829459,2793.0,1252.3074142283112,3753.8,1394.7424618739615,6421.6,1043.966684922541,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,30.0,c_lru,5,13.14931771438934,6.313873203619007,71.80896447281305,25.299189152953186,84.6166334493424,30.01147307366112,2252.0,738.7420558327512,4294.8,891.9186480592498,6409.0,1085.6562997427868,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,30.0,cloud_fifo,5,30.204205534696428,9.353397668028599,173.90666666666667,40.66564074977838,218.2266666666666,33.3846032438614,6546.8,1001.5380973158433,0.0,0.0,6321.4,1038.2947336332588,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,30.0,cloud_sjf,5,30.728736885051948,10.43241467795342,162.7266666666667,55.8365593517907,218.2266666666667,33.38460324386146,6546.8,1001.5380973158433,0.0,0.0,6319.0,1037.5561349216725,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,30.0,d_lease,5,12.58182729176541,6.358793037701347,66.84026928571429,23.207248136428102,80.2800934920635,26.59634972263094,2016.4,706.9745537865983,4530.4,990.2379947544731,6240.8,1308.3062702070333,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,30.0,l_lease,5,12.58182729176541,6.358793037701347,66.84026928571429,23.207248136428102,80.2800934920635,26.59634972263094,2016.4,706.9745537865983,4530.4,990.2379947544731,6240.8,1308.3062702070333,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,30.0,l_lru,5,13.265234020587162,7.211363328746877,72.33460417989417,26.24950082270129,84.7690966931217,30.958640781833758,2246.0,789.6366035082212,4300.8,1068.3515976055073,6464.6,1202.0674934006659,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,30.0,p2p_sjf,5,14.714663921132983,8.647306797098006,80.6405243940153,35.195849139782084,100.1422583473016,43.74117602415689,2732.6,1314.983786763989,3814.2,1457.9594284782547,6421.0,1073.664430153109,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,100.0,c_lru,5,4.461384229103219,1.8778636393259656,22.6356524748258,6.154497589853097,39.278346421675174,9.823713095669156,2317.4,663.0693189241679,4229.4,951.1787283051276,6461.8,1034.3475834193453,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,100.0,cloud_fifo,5,9.105193341758692,2.8464177847477363,52.172,12.19969222493352,67.883,11.678994707108291,6546.8,1001.5380973158433,0.0,0.0,6321.4,1038.2947336332588,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,100.0,cloud_sjf,5,9.247292854942197,3.1411400467828314,48.818000000000005,16.75096780553722,67.88300000000001,11.678994707108325,6546.8,1001.5380973158433,0.0,0.0,6319.0,1037.5561349216725,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,100.0,d_lease,5,4.352424531634002,1.9325541845888876,22.9580679330776,6.402124200203115,39.280381476715164,9.836966737132324,2168.0,712.2877376206892,4378.8,896.6649308618241,6269.8,1306.938736277045,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,100.0,l_lease,5,4.352424531634002,1.9325541845888876,22.9580679330776,6.402124200203115,39.280381476715164,9.836966737132324,2168.0,712.2877376206892,4378.8,896.6649308618241,6269.8,1306.938736277045,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,100.0,l_lru,5,4.5130271565600255,2.0433512176220425,24.30535577816402,7.494294798361026,39.94101158898871,8.508033681711634,2511.0,951.6899709665956,4035.8,1096.570739889333,6408.8,908.7147699280781,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,100.0,p2p_sjf,5,4.82715263682213,2.474112408050546,25.033949865479258,9.252840111595024,39.46925665613114,11.386080298733857,2826.4,1185.7152297806417,3720.4,1307.839742670393,6462.4,1034.4769121426345,0.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,0.5,10.0,c_lru,5,659.4032638581208,54.0013217881187,1262.26,174.90515307627066,1315.48,133.1554171526433,13154.8,1331.5541715264305,4043.0,605.3844383596261,10546.0,1122.4803284925752,6941.2,825.6322432835577
drtp_img88_cacheonly_1024mb_200,200,100,0.5,10.0,cloud_fifo,5,970.6227088595866,49.81066995182522,1655.0399999999981,175.3375659964558,1719.7799999999977,161.76691677528578,17197.8,1617.669167752863,0.0,0.0,10436.6,1177.7736086576908,6893.4,955.5851698686832
drtp_img88_cacheonly_1024mb_200,200,100,0.5,10.0,cloud_sjf,5,1016.0773347281283,73.76671604557895,1649.2600000000002,184.9707272976395,1719.7800000000002,161.76691677528666,17197.8,1617.669167752863,0.0,0.0,10609.6,1189.2183120619022,6893.4,955.5851698686832
drtp_img88_cacheonly_1024mb_200,200,100,0.5,10.0,d_lease,5,639.8376085091334,56.85767514952451,1266.1,178.08512757559512,1319.32,136.70204481925788,13193.2,1367.020448192579,4004.6,1135.6953579925207,10251.2,956.5402377639111,7396.8,974.6695316271253
drtp_img88_cacheonly_1024mb_200,200,100,0.5,10.0,l_lease,5,640.3880188328782,57.46989505743766,1267.6599999999999,180.64408287740181,1320.8799999999999,138.87233481556515,13208.8,1388.72334815565,3989.0,1128.522360378916,10303.6,968.8588385713161,7356.8,898.2890651779302
drtp_img88_cacheonly_1024mb_200,200,100,0.5,10.0,l_lru,5,671.2937024465285,65.92721864628008,1330.5400000000002,178.6321941369181,1383.7600000000002,136.41046505388653,13837.6,1364.1046505388654,3360.2,827.6807751189101,10835.8,1240.581759165852,6893.4,955.5851698686832
