base_requests,target_requests,cache_scale,wan_mb_s,baseline,num_seeds,mean_ready_s_mean,mean_ready_s_ci95,p95_ready_s_mean,p95_ready_s_ci95,makespan_s_mean,makespan_s_ci95,registry_mb_mean,registry_mb_ci95,peer_mb_mean,peer_mb_ci95,p2p_offload_pct_mean,p2p_offload_pct_ci95,runtime_ms_mean,runtime_ms_ci95
500,250,0.5,30.0,dragonfly_style,20,230.6039245692377,6.599087709056565,432.2062896825395,18.93747152540947,452.7149999999998,14.77035987980031,13581.45,443.1107963940091,2529.65,325.54886278943934,15.56987242757191,1.5824240698564742,115.27169235050678,5.507593195437636
500,250,0.5,30.0,ilrsa_style,20,372.4261472693662,17.610098098434523,535.2483333333344,20.929284252140302,537.0366666666675,20.806925861152777,16111.1,624.2077758345883,0.0,0.0,0.0,0.0,233.76228623092175,13.41524250731156
500,250,0.5,30.0,metapipe_reactive_style,20,197.90795754055787,5.214311725183283,409.8782544047619,18.97221586406807,436.101,16.244157552149726,13083.0,487.3172425190748,3028.1,405.92713847042796,18.666382372957386,2.0978455728257135,161.786650121212,8.18991877056726
500,250,0.5,30.0,peersync_style,20,214.34160549620609,6.2017001297858805,400.29295634920607,18.745598554508334,420.89499999999975,13.392430729633725,12626.85,401.7729218890119,3484.25,307.53697815645614,21.507186989291565,1.2732588035633297,186.51694059371948,7.938799606605574
500,250,0.5,30.0,registry,20,291.4896461918609,12.59975125974664,502.3800000000004,20.342273184527023,537.0366666666672,20.806925861152727,16111.1,624.2077758345883,0.0,0.0,0.0,0.0,98.31021763384342,4.048339701422815
500,250,0.5,100.0,dragonfly_style,20,69.61063912868411,2.2549381470061336,136.12382905864197,8.287393807606819,146.40144630930334,6.075573014427014,13547.75,463.9764293027853,2563.35,316.71637145051636,15.80076539737228,1.5833474290471041,115.9225556999445,5.345221144067043
500,250,0.5,100.0,ilrsa_style,20,111.87124727641019,5.261374894895572,162.2897500000002,6.342548639730696,163.0376666666668,6.2739820273265305,16111.1,624.2077758345883,0.0,0.0,0.0,0.0,233.63553509116173,13.345120320965492
500,250,0.5,100.0,metapipe_reactive_style,20,60.585058335685794,1.5110149018094634,132.04167190890132,7.109321262828224,143.4035377040516,5.990089084168079,13128.75,474.7621487926508,2982.35,400.357015512237,18.375132384018478,2.049320928566273,165.40540233254433,8.487800259603775
500,250,0.5,100.0,peersync_style,20,65.1443165221676,1.9967360120191868,127.06437371751679,7.920724250234354,137.3352616143422,5.670010107875471,12575.8,420.80847456561395,3535.3,317.90088908081583,21.834046733417527,1.407184050908165,187.31238469481468,8.073067573032604
500,250,0.5,100.0,registry,20,87.47655378345014,3.7790073844053107,150.71399999999983,6.102681955358218,163.0376666666665,6.273982027326528,16111.1,624.2077758345883,0.0,0.0,0.0,0.0,98.25140796601772,4.038113408263865
500,250,1.0,10.0,dragonfly_style,20,361.2147925659838,35.84596868357979,648.2710586662258,36.25802079543124,711.696541666667,37.06756198007712,7099.4,366.91324640139175,7307.1,479.9209798425981,50.6247851699259,2.27588495619702,111.82506419718266,5.564227138862311
500,250,1.0,10.0,ilrsa_style,20,845.6968061277445,46.06241328904367,1432.9549999999997,55.00725677425333,1440.6499999999978,54.496393960900804,14406.5,544.9639396090084,0.0,0.0,0.0,0.0,230.69661483168602,14.706254539021092
500,250,1.0,10.0,metapipe_reactive_style,20,349.3795302684386,23.747694904636827,656.3474716523737,24.192955264707756,721.1237849423287,30.636211201326883,7105.6,324.9679265298152,7300.9,526.1556505169964,50.51001649459043,2.304513286792328,155.57870641350746,8.978037209465873
500,250,1.0,10.0,peersync_style,20,336.43397617170046,35.172410710896656,575.0037161837247,23.282096024450702,606.8451718860232,29.318815464427246,6007.45,299.7163259120045,8399.05,464.19640464100786,58.21653331107846,1.7706536180027737,209.52748097479343,9.166955187215049
500,250,1.0,10.0,registry,20,674.1443139839748,33.68094528715325,1353.0649999999996,54.70110926400494,1440.649999999999,54.49639396090078,14406.5,544.9639396090084,0.0,0.0,0.0,0.0,97.20434807240963,4.253227399223505
500,250,1.0,30.0,dragonfly_style,20,124.06281579215428,11.998299925041055,223.8557698263886,10.060789234098339,240.7323601901453,11.612750574948047,7046.45,347.1805424216421,7360.05,513.7473821775296,50.94602408941917,2.355716606172707,113.8349536806345,5.748815006974384
500,250,1.0,30.0,ilrsa_style,20,281.8989353759151,15.35413776301455,477.65166666666755,18.335752258084582,480.21666666666795,18.1654646536336,14406.5,544.9639396090084,0.0,0.0,0.0,0.0,230.75798265635967,14.709835540445518
500,250,1.0,30.0,metapipe_reactive_style,20,117.40947927191169,10.831994334219825,231.1061502061562,11.235962815121882,248.6808718639438,9.80933239699695,6993.55,312.3090396582684,7412.95,506.4329007513977,51.30543658880222,2.144073999416301,157.47721940279007,9.082739163217488
500,250,1.0,30.0,peersync_style,20,116.41196011515582,11.975851406203198,207.78850321624208,9.203628804024344,215.86852401611162,10.428368052167817,5968.95,278.4356033929406,8437.55,461.4320056439477,58.47542514487701,1.6756179148461006,210.44881343841553,9.569808766050135
500,250,1.0,30.0,registry,20,224.71477132799188,11.226981762384387,451.0216666666672,18.23370308800153,480.2166666666674,18.16546465363349,14406.5,544.9639396090084,0.0,0.0,0.0,0.0,96.42499089241028,4.277529273457395
500,250,1.0,100.0,dragonfly_style,20,42.22570084482807,4.284981039419384,84.8692154979764,6.0652276414416795,93.0865054972978,6.93733538184043,7065.6,383.77912978807564,7340.9,457.53981538973085,50.89598986940757,2.1949007491007824,115.83449579775333,5.583899558740569
500,250,1.0,100.0,ilrsa_style,20,84.69990494435999,4.601684457141498,144.81683333333348,5.587019785731124,146.05495833333356,5.483866129721479,14406.5,544.9639396090084,0.0,0.0,0.0,0.0,231.0487974435091,14.856006459186577
500,250,1.0,100.0,metapipe_reactive_style,20,37.7898357921022,3.724408389854987,80.71788743138347,5.5271150226393635,93.365474307378,4.559060861873091,6996.25,302.9657453377134,7410.25,500.02309431862545,51.2837633252811,2.1029446819711635,160.7609488070011,9.33259136168366
500,250,1.0,100.0,peersync_style,20,39.998546569610426,4.261595686895872,80.82158070482298,6.4554861975314966,87.81734630434718,7.561954220081662,6006.4,293.0433840143056,8400.1,443.2738724995031,58.23519709091799,1.6340891148045682,211.1852813512087,8.993494275507585
500,250,1.0,100.0,registry,20,67.44907861426164,3.366803235238144,135.34549999999987,5.493459181076609,146.05495833333325,5.483866129721413,14406.5,544.9639396090084,0.0,0.0,0.0,0.0,96.64973877370358,4.348276007651813
500,250,2.0,10.0,dragonfly_style,20,49.258692065587944,8.721116426366708,237.74249378306874,27.713821749429773,265.3238030092592,26.366696856742013,2623.3,268.45409991240297,3898.4,731.5166888856962,57.591211708261916,7.011690748985404,70.81698030233383,6.696268528426469
500,250,2.0,10.0,ilrsa_style,20,163.26508218945534,25.474411588900377,637.1850000000001,67.89516077023183,652.1700000000005,66.92724099768557,6521.7,669.2724099768537,0.0,0.0,0.0,0.0,107.88571424782276,14.449785536583727
500,250,2.0,10.0,metapipe_reactive_style,20,47.34339137930087,7.805623769561176,238.54881635678458,28.750371263853147,270.0971505952381,32.265927327135465,2653.1,333.88734525662437,3868.6,680.7302405124128,57.58707886938604,6.885623683111351,88.6623665690422,7.944495181474021
