nohup: ignoring input
[FIG2] method=ilrsa cache=1536 req=400
[FIG2] method=lrs cache=1536 req=400
[FIG2] method=gahrl cache=1536 req=400
[FIG2] method=orr cache=1536 req=400
[FIG2] method=lasa cache=1536 req=400
[FIG2] method=fg cache=1536 req=400
[FIG2] method=ilrsa cache=1536 req=500
[FIG2] method=lrs cache=1536 req=500
[FIG2] method=gahrl cache=1536 req=500
[FIG2] method=orr cache=1536 req=500
[FIG2] method=lasa cache=1536 req=500
[FIG2] method=fg cache=1536 req=500
[FIG2] method=ilrsa cache=1536 req=600
[FIG2] method=lrs cache=1536 req=600
[FIG2] method=gahrl cache=1536 req=600
[FIG2] method=orr cache=1536 req=600
[FIG2] method=lasa cache=1536 req=600
[FIG2] method=fg cache=1536 req=600
[FIG2] method=ilrsa cache=1536 req=700
[FIG2] method=lrs cache=1536 req=700
[FIG2] method=gahrl cache=1536 req=700
[FIG2] method=orr cache=1536 req=700
[FIG2] method=lasa cache=1536 req=700
[FIG2] method=fg cache=1536 req=700
[FIG2] method=ilrsa cache=1536 req=800
[FIG2] method=lrs cache=1536 req=800
[FIG2] method=gahrl cache=1536 req=800
[FIG2] method=orr cache=1536 req=800
[FIG2] method=lasa cache=1536 req=800
[FIG2] method=fg cache=1536 req=800
[FIG2] method=ilrsa cache=1536 req=900
[FIG2] method=lrs cache=1536 req=900
[FIG2] method=gahrl cache=1536 req=900
[FIG2] method=orr cache=1536 req=900
[FIG2] method=lasa cache=1536 req=900
[FIG2] method=fg cache=1536 req=900
[FIG2] method=ilrsa cache=1536 req=1000
[FIG2] method=lrs cache=1536 req=1000
[FIG2] method=gahrl cache=1536 req=1000
[FIG2] method=orr cache=1536 req=1000
[FIG2] method=lasa cache=1536 req=1000
[FIG2] method=fg cache=1536 req=1000
[FIG2] method=ilrsa cache=1664 req=200
[FIG2] method=lrs cache=1664 req=200
[FIG2] method=gahrl cache=1664 req=200
[FIG2] method=orr cache=1664 req=200
[FIG2] method=lasa cache=1664 req=200
[FIG2] method=fg cache=1664 req=200
[FIG2] method=ilrsa cache=1664 req=300
[FIG2] method=lrs cache=1664 req=300
[FIG2] method=gahrl cache=1664 req=300
[FIG2] method=orr cache=1664 req=300
[FIG2] method=lasa cache=1664 req=300
[FIG2] method=fg cache=1664 req=300
[FIG2] method=ilrsa cache=1664 req=400
[FIG2] method=lrs cache=1664 req=400
[FIG2] method=gahrl cache=1664 req=400
[FIG2] method=orr cache=1664 req=400
[FIG2] method=lasa cache=1664 req=400
[FIG2] method=fg cache=1664 req=400
[FIG2] method=ilrsa cache=1664 req=500
[FIG2] method=lrs cache=1664 req=500
[FIG2] method=gahrl cache=1664 req=500
[FIG2] method=orr cache=1664 req=500
[FIG2] method=lasa cache=1664 req=500
[FIG2] method=fg cache=1664 req=500
[FIG2] method=ilrsa cache=1664 req=600
[FIG2] method=lrs cache=1664 req=600
[FIG2] method=gahrl cache=1664 req=600
[FIG2] method=orr cache=1664 req=600
[FIG2] method=lasa cache=1664 req=600
[FIG2] method=fg cache=1664 req=600
[FIG2] method=ilrsa cache=1664 req=700
[FIG2] method=lrs cache=1664 req=700
[FIG2] method=gahrl cache=1664 req=700
[FIG2] method=orr cache=1664 req=700
[FIG2] method=lasa cache=1664 req=700
[FIG2] method=fg cache=1664 req=700
[FIG2] method=ilrsa cache=1664 req=800
[FIG2] method=lrs cache=1664 req=800
[FIG2] method=gahrl cache=1664 req=800
[FIG2] method=orr cache=1664 req=800
[FIG2] method=lasa cache=1664 req=800
[FIG2] method=fg cache=1664 req=800
[FIG2] method=ilrsa cache=1664 req=900
[FIG2] method=lrs cache=1664 req=900
[FIG2] method=gahrl cache=1664 req=900
[FIG2] method=orr cache=1664 req=900
[FIG2] method=lasa cache=1664 req=900
[FIG2] method=fg cache=1664 req=900
[FIG2] method=ilrsa cache=1664 req=1000
[FIG2] method=lrs cache=1664 req=1000
[FIG2] method=gahrl cache=1664 req=1000
[FIG2] method=orr cache=1664 req=1000
[FIG2] method=lasa cache=1664 req=1000
[FIG2] method=fg cache=1664 req=1000
[FIG2] method=ilrsa cache=1792 req=200
[FIG2] method=lrs cache=1792 req=200
[FIG2] method=gahrl cache=1792 req=200
[FIG2] method=orr cache=1792 req=200
[FIG2] method=lasa cache=1792 req=200
[FIG2] method=fg cache=1792 req=200
[FIG2] method=ilrsa cache=1792 req=300
[FIG2] method=lrs cache=1792 req=300
[FIG2] method=gahrl cache=1792 req=300
[FIG2] method=orr cache=1792 req=300
[FIG2] method=lasa cache=1792 req=300
[FIG2] method=fg cache=1792 req=300
[FIG2] method=ilrsa cache=1792 req=400
[FIG2] method=lrs cache=1792 req=400
[FIG2] method=gahrl cache=1792 req=400
[FIG2] method=orr cache=1792 req=400
[FIG2] method=lasa cache=1792 req=400
[FIG2] method=fg cache=1792 req=400
[FIG2] method=ilrsa cache=1792 req=500
[FIG2] method=lrs cache=1792 req=500
[FIG2] method=gahrl cache=1792 req=500
[FIG2] method=orr cache=1792 req=500
[FIG2] method=lasa cache=1792 req=500
[FIG2] method=fg cache=1792 req=500
[FIG2] method=ilrsa cache=1792 req=600
[FIG2] method=lrs cache=1792 req=600
[FIG2] method=gahrl cache=1792 req=600
[FIG2] method=orr cache=1792 req=600
[FIG2] method=lasa cache=1792 req=600
[FIG2] method=fg cache=1792 req=600
[FIG2] method=ilrsa cache=1792 req=700
[FIG2] method=lrs cache=1792 req=700
[FIG2] method=gahrl cache=1792 req=700
[FIG2] method=orr cache=1792 req=700
[FIG2] method=lasa cache=1792 req=700
[FIG2] method=fg cache=1792 req=700
[FIG2] method=ilrsa cache=1792 req=800
[FIG2] method=lrs cache=1792 req=800
[FIG2] method=gahrl cache=1792 req=800
[FIG2] method=orr cache=1792 req=800
[FIG2] method=lasa cache=1792 req=800
[FIG2] method=fg cache=1792 req=800
[FIG2] method=ilrsa cache=1792 req=900
[FIG2] method=lrs cache=1792 req=900
[FIG2] method=gahrl cache=1792 req=900
[FIG2] method=orr cache=1792 req=900
[FIG2] method=lasa cache=1792 req=900
[FIG2] method=fg cache=1792 req=900
[FIG2] method=ilrsa cache=1792 req=1000
[FIG2] method=lrs cache=1792 req=1000
[FIG2] method=gahrl cache=1792 req=1000
[FIG2] method=orr cache=1792 req=1000
[FIG2] method=lasa cache=1792 req=1000
[FIG2] method=fg cache=1792 req=1000
[FIG2] method=ilrsa cache=2048 req=200
[FIG2] method=lrs cache=2048 req=200
[FIG2] method=gahrl cache=2048 req=200
[FIG2] method=orr cache=2048 req=200
[FIG2] method=lasa cache=2048 req=200
[FIG2] method=fg cache=2048 req=200
[FIG2] method=ilrsa cache=2048 req=300
[FIG2] method=lrs cache=2048 req=300
[FIG2] method=gahrl cache=2048 req=300
[FIG2] method=orr cache=2048 req=300
[FIG2] method=lasa cache=2048 req=300
[FIG2] method=fg cache=2048 req=300
[FIG2] method=ilrsa cache=2048 req=400
[FIG2] method=lrs cache=2048 req=400
[FIG2] method=gahrl cache=2048 req=400
[FIG2] method=orr cache=2048 req=400
[FIG2] method=lasa cache=2048 req=400
[FIG2] method=fg cache=2048 req=400
[FIG2] method=ilrsa cache=2048 req=500
[FIG2] method=lrs cache=2048 req=500
[FIG2] method=gahrl cache=2048 req=500
[FIG2] method=orr cache=2048 req=500
[FIG2] method=lasa cache=2048 req=500
[FIG2] method=fg cache=2048 req=500
[FIG2] method=ilrsa cache=2048 req=600
[FIG2] method=lrs cache=2048 req=600
[FIG2] method=gahrl cache=2048 req=600
[FIG2] method=orr cache=2048 req=600
[FIG2] method=lasa cache=2048 req=600
[FIG2] method=fg cache=2048 req=600
[FIG2] method=ilrsa cache=2048 req=700
[FIG2] method=lrs cache=2048 req=700
[FIG2] method=gahrl cache=2048 req=700
[FIG2] method=orr cache=2048 req=700
[FIG2] method=lasa cache=2048 req=700
[FIG2] method=fg cache=2048 req=700
[FIG2] method=ilrsa cache=2048 req=800
[FIG2] method=lrs cache=2048 req=800
[FIG2] method=gahrl cache=2048 req=800
[FIG2] method=orr cache=2048 req=800
[FIG2] method=lasa cache=2048 req=800
[FIG2] method=fg cache=2048 req=800
[FIG2] method=ilrsa cache=2048 req=900
[FIG2] method=lrs cache=2048 req=900
[FIG2] method=gahrl cache=2048 req=900
[FIG2] method=orr cache=2048 req=900
[FIG2] method=lasa cache=2048 req=900
[FIG2] method=fg cache=2048 req=900
[FIG2] method=ilrsa cache=2048 req=1000
[FIG2] method=lrs cache=2048 req=1000
[FIG2] method=gahrl cache=2048 req=1000
[FIG2] method=orr cache=2048 req=1000
[FIG2] method=lasa cache=2048 req=1000
[FIG2] method=fg cache=2048 req=1000
written results/drtp/k8s_ca_figs/summaries/fig2_cache.csv rows 432
