nohup: ignoring input
[FIG2-PREFIX] method=gahrl cache=1024 req=600
[FIG2-PREFIX] method=orr cache=1024 req=600
[FIG2-PREFIX] method=lasa cache=1024 req=600
[FIG2-PREFIX] method=fg cache=1024 req=600
[FIG2-PREFIX] method=ilrsa cache=1024 req=700
[FIG2-PREFIX] method=lrs cache=1024 req=700
[FIG2-PREFIX] method=gahrl cache=1024 req=700
[FIG2-PREFIX] method=orr cache=1024 req=700
[FIG2-PREFIX] method=lasa cache=1024 req=700
[FIG2-PREFIX] method=fg cache=1024 req=700
[FIG2-PREFIX] method=ilrsa cache=1024 req=800
[FIG2-PREFIX] method=lrs cache=1024 req=800
[FIG2-PREFIX] method=gahrl cache=1024 req=800
[FIG2-PREFIX] method=orr cache=1024 req=800
[FIG2-PREFIX] method=lasa cache=1024 req=800
[FIG2-PREFIX] method=fg cache=1024 req=800
[FIG2-PREFIX] method=ilrsa cache=1024 req=900
[FIG2-PREFIX] method=lrs cache=1024 req=900
[FIG2-PREFIX] method=gahrl cache=1024 req=900
[FIG2-PREFIX] method=orr cache=1024 req=900
[FIG2-PREFIX] method=lasa cache=1024 req=900
[FIG2-PREFIX] method=fg cache=1024 req=900
[FIG2-PREFIX] method=ilrsa cache=1024 req=1000
[FIG2-PREFIX] method=lrs cache=1024 req=1000
[FIG2-PREFIX] method=gahrl cache=1024 req=1000
[FIG2-PREFIX] method=orr cache=1024 req=1000
[FIG2-PREFIX] method=lasa cache=1024 req=1000
[FIG2-PREFIX] method=fg cache=1024 req=1000
[DONE] Fig.2 prefix
